scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.04,190,0.0475,8,1,0.00025,0.2
early outbreak,medium,10,outbreak,2,1,,4000,1,0,0,6,1,0.00025,0.2
early outbreak,short,10,outbreak,3,1,,4000,1,0,0,5,6,0.0015,0.3
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,3,1575,0.39375,0.3
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,4,8,0.002,0.2
late outbreak,short,10,outbreak,6,1,,4000,1,0,0,4,1,0.00025,0.3
near peak,long,10,outbreak,7,1,,4000,1,0,0,4,64,0.016,0.3
near peak,medium,10,outbreak,8,1,,4000,1,0,0,4,54,0.0135,0.3
near peak,short,10,outbreak,9,1,,4000,1,0,0,4,48,0.012,0.2
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,2,5e-04,0.3
past peak,medium,10,outbreak,11,1,,4000,1,0,0,4,15,0.00375,0.3
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,234,0.0585,0.3
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,1622,0.4055,0.3
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,1716,0.429,0.3
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1731,0.43275,0.2
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1615,0.40375,0.3
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1398,0.3495,0.3
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1667,0.41675,0.3
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,1875,0.46875,0.3
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,1491,0.37275,0.2
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1778,0.4445,0.3
past peak,long,100,outbreak,22,1,,4000,1.01,0,0,3,1549,0.38725,0.3
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1525,0.38125,0.3
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1634,0.4085,0.3
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,3,1597,0.39925,0.2
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,3,1607,0.40175,0.2
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1572,0.393,0.2
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1523,0.38075,0.4
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1600,0.4,0.4
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1645,0.41125,0.4
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,1709,0.42725,0.4
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,1615,0.40375,0.4
near peak,short,200,outbreak,33,1,,4000,1.01,0,0,3,1767,0.44175,0.4
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1697,0.42425,0.4
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1524,0.381,0.4
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1659,0.41475,0.4
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,3,1590,0.3975,0.4
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,1521,0.38025,0.4
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1791,0.44775,0.2
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,1729,0.43225,0.5
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1732,0.433,0.6
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,1521,0.38025,0.5
near peak,long,400,outbreak,43,1,,4000,1,0,0,3,1683,0.42075,0.5
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1655,0.41375,0.5
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1610,0.4025,0.4
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,1621,0.40525,0.6
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1684,0.421,0.6
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,1619,0.40475,0.5
decay,long,200,exponential,49,1,,4000,1,0,0,3,1666,0.4165,0.4
decay,medium,200,exponential,50,1,,4000,1,0,0,3,1688,0.422,0.4
decay,short,200,exponential,51,1,,4000,1,0,0,3,1638,0.4095,0.4
fast decay,long,200,exponential,52,1,,4000,1,0,0,3,1596,0.399,0.4
fast decay,medium,200,exponential,53,1,,4000,1,0,0,3,1689,0.42225,0.4
fast decay,short,200,exponential,54,1,,4000,1,0,0,3,1566,0.3915,0.4
fast growth,long,200,exponential,55,1,,4000,1,0,0,3,1564,0.391,0.3
fast growth,medium,200,exponential,56,1,,4000,1,0,0,3,1579,0.39475,0.3
fast growth,short,200,exponential,57,1,,4000,1,0,0,3,1654,0.4135,0.3
growth,long,200,exponential,58,1,,4000,1,0,0,3,1748,0.437,0.4
growth,medium,200,exponential,59,1,,4000,1,0,0,3,1635,0.40875,0.4
growth,short,200,exponential,60,1,,4000,1,0,0,3,1613,0.40325,0.3
stable,long,200,exponential,61,1,,4000,1,0,0,3,1751,0.43775,0.4
stable,medium,200,exponential,62,1,,4000,1,0,0,3,1588,0.397,0.4
stable,short,200,exponential,63,1,,4000,1,0,0,3,1939,0.48475,0.4
120 days,,834,ebola_case_study,64,,real-time,4000,1,0,0,3,1647,0.41175,0.7
120 days,,1032,ebola_case_study,65,,retrospective,4000,1,0,0,3,1558,0.3895,1
180 days,,3149,ebola_case_study,66,,real-time,4000,1,0,0,3,1651,0.41275,2.3
180 days,,3532,ebola_case_study,67,,retrospective,4000,1,0,0,3,1605,0.40125,2.6
240 days,,2399,ebola_case_study,68,,real-time,4000,1,0,0,3,1513,0.37825,1.7
240 days,,2483,ebola_case_study,69,,retrospective,4000,1,0,0,3,1616,0.404,1.8
60 days,,401,ebola_case_study,70,,real-time,4000,1,0,0,3,1497,0.37425,0.5
60 days,,428,ebola_case_study,71,,retrospective,4000,1,0,0,3,1557,0.38925,0.5
